"tournament","city","country","date","tournament_type","discipline","round","winner","nb_sets","retired","game_1_score","game_2_score","game_3_score","team_one_players","team_two_players","team_one_nationalities","team_two_nationalities","team_one_total_points","team_two_total_points","team_one_most_consecutive_points","team_two_most_consecutive_points","team_one_game_points","team_two_game_points","team_one_most_consecutive_points_game_1","team_two_most_consecutive_points_game_1","team_one_game_points_game_1","team_two_game_points_game_1","game_1_scores","team_one_most_consecutive_points_game_2","team_two_most_consecutive_points_game_2","team_one_game_points_game_2","team_two_game_points_game_2","game_2_scores","team_one_most_consecutive_points_game_3","team_two_most_consecutive_points_game_3","team_one_game_points_game_3","team_two_game_points_game_3","game_3_scores","men_team_one_lower","men_team_two_lower","player_one_ranking"
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",1,3,"False","23-21","19-21","21-11","Viktor Axelsen","Tanongsak Saensomboonsuk","DEN","THA",63,53,7,4,4,4,3,4,2,1,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '12-8', '12-9', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '16-12', '16-13', '16-14', '17-14', '17-15', '17-16', '18-16', '18-17', '19-17', '19-18', '19-19', '19-20', '20-20', '21-20', '21-21', '22-21', '23-21']",3,4,0,3,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '12-10', '12-11', '12-12', '13-12', '13-13', '14-13', '14-14', '15-14', '15-15', '16-15', '16-16', '16-17', '17-17', '17-18', '17-19', '17-20', '18-20', '19-20', '19-21']",7,3,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '6-2', '6-3', '6-4', '7-4', '8-4', '8-5', '9-5', '10-5', '10-6', '10-7', '10-8', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '15-10', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '21-11']","viktor axelsen","tanongsak saensomboonsuk",1
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",1,2,"False","21-7","21-7","","Chong Wei Lee","Hyun Il Lee","MAS","KOR",42,14,16,2,4,0,16,2,2,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '16-4', '17-4', '18-4', '19-4', '19-5', '19-6', '20-6', '20-7', '21-7']",5,1,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '15-5', '16-5', '17-5', '18-5', '18-6', '19-6', '20-6', '20-7', '21-7']",NA,NA,NA,NA,"[]","chong wei lee","hyun il lee",6
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",0,2,"True","21-11","0-1","","Kento Momota","Wan Ho Son","JPN","KOR",21,12,5,2,2,0,5,2,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '6-4', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '11-7', '12-7', '12-8', '13-8', '14-8', '14-9', '15-9', '15-10', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '21-11']",0,1,0,0,"['0-0', '0-1']",NA,NA,NA,NA,"[]","kento momota","wan ho son",10
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",2,2,"False","13-21","19-21","","Kantaphon Wangcharoen","Tommy Sugiarto","THA","INA",32,42,3,8,0,5,2,8,0,3,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '11-14', '11-15', '11-16', '11-17', '11-18', '11-19', '11-20', '12-20', '13-20', '13-21']",3,5,0,2,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '16-17', '16-18', '16-19', '17-19', '18-19', '18-20', '19-20', '19-21']",NA,NA,NA,NA,"[]","kantaphon wangcharoen","tommy sugiarto",32
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",1,2,"False","21-19","21-12","","Yuqi Shi","Dan Lin","CHN","CHN",42,31,5,4,2,0,5,4,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '7-11', '8-11', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '12-15', '13-15', '14-15', '15-15', '16-15', '16-16', '17-16', '17-17', '17-18', '18-18', '18-19', '19-19', '20-19', '21-19']",5,2,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '14-9', '14-10', '14-11', '15-11', '16-11', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",NA,NA,NA,NA,"[]","yuqi shi","dan lin",3
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",2,3,"False","12-21","21-19","13-21","Ka Long Angus Ng","Tien Chen Chou","HKG","TPE",46,61,4,9,3,2,4,9,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '9-11', '10-11', '11-11', '11-12', '12-12', '12-13', '12-14', '12-15', '12-16', '12-17', '12-18', '12-19', '12-20', '12-21']",4,5,3,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '11-8', '11-9', '11-10', '11-11', '11-12', '12-12', '12-13', '13-13', '13-14', '14-14', '15-14', '16-14', '16-15', '17-15', '17-16', '17-17', '18-17', '19-17', '20-17', '20-18', '20-19', '21-19']",4,6,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '6-9', '6-10', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '10-13', '10-14', '11-14', '12-14', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '13-21']","ka long angus ng","tien chen chou",9
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",1,3,"False","10-21","21-17","25-23","Brice Leverdez","Jonatan Christie","FRA","INA",56,61,5,8,5,5,3,8,0,2,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '6-9', '7-9', '8-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '8-16', '8-17', '9-17', '9-18', '9-19', '9-20', '10-20', '10-21']",4,5,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '8-3', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '12-8', '12-9', '12-10', '12-11', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '16-14', '16-15', '17-15', '18-15', '19-15', '19-16', '20-16', '20-17', '21-17']",5,4,3,3,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '7-12', '8-12', '9-12', '10-12', '10-13', '10-14', '10-15', '11-15', '12-15', '12-16', '13-16', '14-16', '15-16', '16-16', '17-16', '17-17', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '20-21', '21-21', '22-21', '22-22', '23-22', '23-23', '24-23', '25-23']","brice leverdez","jonatan christie",23
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-28,"HSBC BWF World Tour Super 750","MS","Round of 16",2,2,"False","20-22","12-21","","Tzu Wei Wang","Srikanth Kidambi","TPE","IND",32,43,5,10,0,5,5,8,0,3,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '3-9', '3-10', '3-11', '4-11', '4-12', '4-13', '5-13', '6-13', '6-14', '7-14', '8-14', '9-14', '10-14', '11-14', '11-15', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '15-18', '15-19', '16-19', '17-19', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']",3,10,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '2-10', '2-11', '3-11', '4-11', '4-12', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '7-16', '7-17', '7-18', '8-18', '8-19', '9-19', '10-19', '11-19', '11-20', '12-20', '12-21']",NA,NA,NA,NA,"[]","tzu wei wang","srikanth kidambi",15
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-29,"HSBC BWF World Tour Super 750","MS","Quarter final",2,2,"False","19-21","11-21","","Tien Chen Chou","Kento Momota","TPE","JPN",30,42,3,4,0,4,3,4,0,3,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '10-10', '11-10', '12-10', '13-10', '13-11', '13-12', '14-12', '14-13', '15-13', '15-14', '15-15', '16-15', '16-16', '16-17', '16-18', '16-19', '17-19', '17-20', '18-20', '19-20', '19-21']",2,4,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '4-9', '5-9', '5-10', '5-11', '5-12', '5-13', '6-13', '6-14', '7-14', '7-15', '8-15', '9-15', '9-16', '9-17', '9-18', '9-19', '10-19', '11-19', '11-20', '11-21']",NA,NA,NA,NA,"[]","tien chen chou","kento momota",4
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-29,"HSBC BWF World Tour Super 750","MS","Quarter final",2,2,"False","17-21","9-21","","Viktor Axelsen","Chong Wei Lee","DEN","MAS",26,42,3,8,0,3,3,3,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '8-9', '8-10', '9-10', '9-11', '10-11', '10-12', '10-13', '10-14', '11-14', '12-14', '12-15', '13-15', '13-16', '13-17', '14-17', '15-17', '16-17', '16-18', '17-18', '17-19', '17-20', '17-21']",2,8,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '7-17', '7-18', '7-19', '8-19', '8-20', '9-20', '9-21']",NA,NA,NA,NA,"[]","viktor axelsen","chong wei lee",1
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-29,"HSBC BWF World Tour Super 750","MS","Quarter final",2,2,"False","18-21","14-21","","Brice Leverdez","Srikanth Kidambi","FRA","IND",32,42,4,7,0,3,4,4,0,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '12-12', '12-13', '13-13', '13-14', '13-15', '13-16', '14-16', '14-17', '15-17', '16-17', '17-17', '17-18', '17-19', '18-19', '18-20', '18-21']",3,7,0,2,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '5-10', '5-11', '6-11', '6-12', '6-13', '6-14', '7-14', '8-14', '9-14', '9-15', '10-15', '11-15', '11-16', '11-17', '12-17', '12-18', '12-19', '13-19', '13-20', '14-20', '14-21']",NA,NA,NA,NA,"[]","brice leverdez","srikanth kidambi",23
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-29,"HSBC BWF World Tour Super 750","MS","Quarter final",2,3,"False","21-13","13-21","13-21","Yuqi Shi","Tommy Sugiarto","CHN","INA",47,55,6,7,2,3,6,3,2,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '13-7', '14-7', '14-8', '15-8', '16-8', '17-8', '18-8', '18-9', '18-10', '18-11', '19-11', '19-12', '20-12', '20-13', '21-13']",3,7,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '9-14', '10-14', '11-14', '11-15', '11-16', '11-17', '11-18', '12-18', '12-19', '12-20', '13-20', '13-21']",4,4,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '6-8', '7-8', '7-9', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '9-14', '9-15', '10-15', '10-16', '11-16', '12-16', '12-17', '12-18', '13-18', '13-19', '13-20', '13-21']","yuqi shi","tommy sugiarto",3
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-30,"HSBC BWF World Tour Super 750","MS","Semi final",2,2,"False","13-21","13-21","","Srikanth Kidambi","Kento Momota","IND","JPN",26,42,3,5,0,2,2,4,0,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '7-9', '7-10', '8-10', '8-11', '8-12', '8-13', '9-13', '10-13', '10-14', '10-15', '10-16', '10-17', '11-17', '12-17', '12-18', '12-19', '13-19', '13-20', '13-21']",3,3,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '6-11', '7-11', '7-12', '7-13', '7-14', '8-14', '8-15', '8-16', '9-16', '10-16', '11-16', '11-17', '11-18', '11-19', '12-19', '13-19', '13-20', '13-21']",NA,NA,NA,NA,"[]","srikanth kidambi","kento momota",7
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-06-30,"HSBC BWF World Tour Super 750","MS","Semi final",1,2,"False","21-18","21-15","","Chong Wei Lee","Tommy Sugiarto","MAS","INA",42,33,6,4,2,0,4,4,1,0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '13-11', '14-11', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '17-15', '17-16', '17-17', '18-17', '19-17', '19-18', '20-18', '21-18']",6,3,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '13-9', '14-9', '15-9', '15-10', '16-10', '17-10', '17-11', '17-12', '17-13', '18-13', '19-13', '19-14', '19-15', '20-15', '21-15']",NA,NA,NA,NA,"[]","chong wei lee","tommy sugiarto",6
"CELCOM AXIATA Malaysia Open 2018","Bukit Jalil","Malaysia",2018-07-01,"HSBC BWF World Tour Super 750","MS","Final",1,2,"False","21-17","23-21","","Chong Wei Lee","Kento Momota","MAS","JPN",44,38,4,6,2,2,3,4,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '13-10', '13-11', '13-12', '13-13', '13-14', '14-14', '15-14', '15-15', '16-15', '17-15', '17-16', '18-16', '18-17', '19-17', '20-17', '21-17']",4,6,1,2,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '13-6', '13-7', '13-8', '13-9', '13-10', '13-11', '13-12', '14-12', '15-12', '15-13', '16-13', '17-13', '17-14', '17-15', '18-15', '18-16', '18-17', '18-18', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '23-21']",NA,NA,NA,NA,"[]","chong wei lee","kento momota",6
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",1,3,"False","12-21","21-17","21-6","Kanta Tsuneyama","Jan O Jorgensen","JPN","DEN",54,44,9,5,3,1,3,5,0,1,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '6-10', '7-10', '8-10', '9-10', '9-11', '10-11', '10-12', '10-13', '10-14', '10-15', '11-15', '11-16', '12-16', '12-17', '12-18', '12-19', '12-20', '12-21']",5,4,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '7-3', '8-3', '8-4', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '12-10', '13-10', '14-10', '15-10', '15-11', '15-12', '16-12', '16-13', '16-14', '17-14', '18-14', '18-15', '18-16', '19-16', '20-16', '20-17', '21-17']",9,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '9-1', '10-1', '11-1', '11-2', '11-3', '12-3', '13-3', '14-3', '15-3', '16-3', '16-4', '17-4', '18-4', '19-4', '19-5', '19-6', '20-6', '21-6']","kanta tsuneyama","jan o jorgensen",38
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",2,3,"False","21-17","20-22","19-21","Long Chen","Brice Leverdez","CHN","FRA",60,60,8,10,2,2,8,10,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '3-10', '3-11', '4-11', '5-11', '5-12', '6-12', '6-13', '7-13', '8-13', '9-13', '10-13', '11-13', '12-13', '13-13', '14-13', '14-14', '15-14', '16-14', '16-15', '17-15', '18-15', '18-16', '19-16', '19-17', '20-17', '21-17']",7,4,1,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '7-3', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '11-8', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '15-13', '15-14', '15-15', '15-16', '16-16', '17-16', '17-17', '18-17', '19-17', '19-18', '19-19', '20-19', '20-20', '20-21', '20-22']",4,5,0,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '13-10', '13-11', '13-12', '14-12', '14-13', '14-14', '15-14', '15-15', '16-15', '17-15', '18-15', '18-16', '19-16', '19-17', '19-18', '19-19', '19-20', '19-21']","long chen","brice leverdez",5
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",1,3,"False","21-15","9-21","21-14","H. S. Prannoy","Dan Lin","IND","CHN",51,50,5,8,3,2,5,3,2,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '7-6', '7-7', '8-7', '8-8', '8-9', '8-10', '9-10', '10-10', '11-10', '11-11', '11-12', '12-12', '13-12', '14-12', '15-12', '16-12', '16-13', '16-14', '17-14', '18-14', '19-14', '20-14', '20-15', '21-15']",2,8,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '5-13', '5-14', '5-15', '5-16', '5-17', '5-18', '6-18', '7-18', '7-19', '8-19', '8-20', '9-20', '9-21']",4,2,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '15-12', '15-13', '16-13', '17-13', '18-13', '19-13', '19-14', '20-14', '21-14']","h. s. prannoy","dan lin",13
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",1,2,"False","21-10","21-13","","Tzu Wei Wang","B. Sai Praneeth","TPE","IND",42,23,12,4,3,0,9,4,1,0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '7-7', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '12-10', '13-10', '14-10', '15-10', '16-10', '17-10', '18-10', '19-10', '20-10', '21-10']",5,4,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '6-2', '6-3', '6-4', '6-5', '7-5', '8-5', '9-5', '10-5', '11-5', '11-6', '12-6', '12-7', '12-8', '12-9', '12-10', '13-10', '13-11', '14-11', '15-11', '16-11', '17-11', '17-12', '18-12', '19-12', '20-12', '20-13', '21-13']",NA,NA,NA,NA,"[]","tzu wei wang","b. sai praneeth",15
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",2,2,"False","17-21","13-21","","Tanongsak Saensomboonsuk","Kazumasa Sakai","THA","JPN",30,42,4,4,0,2,4,3,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '7-7', '7-8', '7-9', '8-9', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '10-14', '11-14', '12-14', '13-14', '14-14', '14-15', '14-16', '14-17', '15-17', '16-17', '16-18', '17-18', '17-19', '17-20', '17-21']",3,4,0,1,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '6-11', '7-11', '7-12', '8-12', '9-12', '10-12', '10-13', '10-14', '10-15', '10-16', '11-16', '12-16', '12-17', '12-18', '12-19', '13-19', '13-20', '13-21']",NA,NA,NA,NA,"[]","tanongsak saensomboonsuk","kazumasa sakai",43
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",1,2,"False","21-10","21-19","","Viktor Axelsen","Jonatan Christie","DEN","INA",42,29,6,4,2,0,6,2,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '12-7', '13-7', '14-7', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '18-10', '19-10', '20-10', '21-10']",4,4,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '7-11', '8-11', '8-12', '8-13', '9-13', '10-13', '11-13', '11-14', '12-14', '12-15', '13-15', '14-15', '14-16', '15-16', '15-17', '15-18', '16-18', '17-18', '18-18', '19-18', '19-19', '20-19', '21-19']",NA,NA,NA,NA,"[]","viktor axelsen","jonatan christie",1
"BLIBLI Indonesia Open 2018","Jakarta","Indonesia",2018-07-03,"HSBC BWF World Tour Super 1000","MS","Round of 32",2,3,"False","9-21","21-12","20-22","Rasmus Gemke","Sameer Verma","DEN","IND",50,55,4,7,2,5,3,7,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '3-8', '4-8', '4-9', '4-10', '4-11', '5-11', '5-12', '5-13', '5-14', '5-15', '5-16', '5-17', '5-18', '6-18', '7-18', '8-18', '8-19', '8-20', '9-20', '9-21']",4,2,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '9-6', '10-6', '11-6', '11-7', '11-8', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '17-9', '18-9', '18-10', '18-11', '19-11', '20-11', '20-12', '21-12']",4,5,0,3,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '2-7', '2-8', '2-9', '3-9', '3-10', '4-10', '4-11', '4-12', '5-12', '6-12', '6-13', '7-13', '8-13', '8-14', '9-14', '9-15', '10-15', '10-16', '11-16', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '16-18', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']","rasmus gemke","sameer verma",29
